日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-30,688809,265.6,226.01,276.82,220.23,180690,4345152944.0,66.51,165.61,140.92,74.2
2025-12-31,688809,240.0,256.8,276.57,235.03,138075,3483205340.0,18.38,13.62,30.79,56.7
2026-01-05,688809,275.0,283.0,308.0,275.0,103204,2992704314.0,12.85,10.2,26.2,42.38
2026-01-06,688809,275.0,293.0,298.81,275.0,78394,2248912568.0,8.41,3.53,10.0,32.19
2026-01-07,688809,315.0,329.77,349.73,315.0,77335,2550465529.0,11.85,12.55,36.77,31.76
2026-01-08,688809,320.68,323.0,348.5,313.88,75356,2466713076.0,10.5,-2.05,-6.77,30.94
2026-01-09,688809,310.2,367.0,386.0,301.2,95148,3222934481.0,26.25,13.62,44.0,39.07
2026-01-12,688809,370.0,356.0,372.5,340.13,56724,2022421077.0,8.82,-3.0,-11.0,23.29
2026-01-13,688809,350.12,361.0,383.2,350.0,53404,1965365364.0,9.33,1.4,5.0,21.93
2026-01-14,688809,361.01,368.0,398.88,360.0,52150,1971573040.0,10.77,1.94,7.0,21.41
2026-01-15,688809,366.99,388.9,396.0,352.6,46031,1728506899.0,11.79,5.68,20.9,18.9
2026-01-16,688809,394.99,385.0,407.77,379.0,43406,1699950641.0,7.4,-1.0,-3.9,17.82
2026-01-19,688809,382.0,370.57,392.85,368.39,36636,1383899428.0,6.35,-3.75,-14.43,15.04
2026-01-20,688809,369.0,373.0,390.0,365.0,40708,1532345458.0,6.75,0.66,2.43,16.72
2026-01-21,688809,375.99,362.78,393.99,353.56,44094,1638919898.0,10.84,-2.74,-10.22,18.11
2026-01-22,688809,368.83,345.01,371.83,338.88,43882,1521082885.0,9.08,-4.9,-17.77,18.02
2026-01-23,688809,342.02,353.0,357.29,338.99,31255,1085578705.0,5.3,2.32,7.99,12.83
2026-01-26,688809,351.0,344.0,362.0,337.0,23516,816480100.0,7.08,-2.55,-9.0,9.66
2026-01-27,688809,342.34,362.02,377.0,342.34,45647,1658957858.0,10.08,5.24,18.02,18.74
2026-01-28,688809,363.2,347.0,370.0,332.07,50036,1733213426.0,10.48,-4.15,-15.02,20.55
2026-01-29,688809,341.0,317.3,342.99,316.0,39169,1285558343.0,7.78,-8.56,-29.7,16.08
2026-01-30,688809,315.2,321.0,324.8,313.5,29209,931318347.0,3.56,1.17,3.7,11.99
2026-02-02,688809,315.0,309.67,321.9,307.02,21332,669326526.0,4.64,-3.53,-11.33,8.76
2026-02-03,688809,327.98,353.17,355.77,327.95,62003,2137229741.0,8.98,14.05,43.5,25.46
2026-02-04,688809,345.0,337.25,348.99,331.0,25466,862697459.0,5.09,-4.51,-15.92,10.46
2026-02-05,688809,326.01,336.7,348.78,323.8,32604,1096989526.0,7.41,-0.16,-0.55,13.39
2026-02-06,688809,334.0,324.86,346.68,324.86,30398,1012646176.0,6.48,-3.52,-11.84,12.48
2026-02-09,688809,332.01,337.62,345.7,331.01,22223,752015170.0,4.52,3.93,12.76,9.13
2026-02-10,688809,336.99,335.0,340.0,328.3,14147,472218546.0,3.47,-0.78,-2.62,5.81
2026-02-11,688809,332.2,325.5,336.98,323.08,15090,495051155.0,4.15,-2.84,-9.5,6.2
2026-02-12,688809,327.44,328.29,335.81,322.22,19259,634661662.0,4.18,0.86,2.79,7.91
2026-02-13,688809,325.0,343.0,352.0,322.01,28723,986126660.0,9.14,4.48,14.71,11.79
2026-02-24,688809,349.97,340.25,349.97,337.94,21617,740796046.0,3.51,-0.8,-2.75,8.88
2026-02-25,688809,341.99,357.5,370.0,336.12,35481,1263120205.0,9.96,5.07,17.25,14.57
2026-02-26,688809,354.94,370.11,377.0,347.0,25374,920923356.0,8.39,3.53,12.61,10.42
2026-02-27,688809,365.0,370.5,379.0,361.85,17307,637705626.0,4.63,0.11,0.39,7.11
2026-03-02,688809,361.0,353.98,373.73,350.33,23091,828693199.0,6.32,-4.46,-16.52,9.48
2026-03-03,688809,354.0,324.63,366.6,324.01,26677,919616299.0,12.03,-8.29,-29.35,10.95
2026-03-04,688809,320.2,330.08,338.88,320.02,16926,560196661.0,5.81,1.68,5.45,6.95
2026-03-05,688809,373.11,387.9,396.1,367.0,54642,2110171992.0,8.82,17.52,57.82,22.44
2026-03-06,688809,378.0,376.09,387.71,370.41,31181,1178507455.0,4.46,-3.04,-11.81,12.8
2026-03-09,688809,360.11,354.65,367.95,341.0,28142,984905465.0,7.17,-5.7,-21.44,11.56
2026-03-10,688809,363.0,368.49,381.98,360.0,25766,953046464.0,6.2,3.9,13.84,10.58
2026-03-11,688809,364.0,355.0,376.66,354.36,21484,783394388.0,6.05,-3.66,-13.49,8.82
2026-03-12,688809,352.0,345.91,359.8,341.6,15861,553281974.0,5.13,-2.56,-9.09,6.51
2026-03-13,688809,343.99,337.5,354.87,336.0,20426,701997863.0,5.46,-2.43,-8.41,8.39
2026-03-16,688809,336.0,348.52,349.0,330.0,18579,634161123.0,5.63,3.27,11.02,7.63
2026-03-17,688809,347.08,334.6,348.88,333.0,14549,496402714.0,4.56,-3.99,-13.92,5.97
2026-03-18,688809,339.0,358.88,358.88,336.0,25022,873329320.0,6.84,7.26,24.28,10.27
2026-03-19,688809,351.0,351.0,355.55,347.0,16550,579029008.0,2.38,-2.2,-7.88,6.8
2026-03-20,688809,353.0,345.28,356.0,345.0,14592,508768445.0,3.13,-1.63,-5.72,5.99
2026-03-23,688809,334.0,333.0,340.84,330.28,11462,383632660.0,3.06,-3.56,-12.28,4.71
2026-03-24,688809,338.5,340.3,341.0,332.15,11633,392596493.0,2.66,2.19,7.3,4.78
2026-03-25,688809,346.42,339.0,350.59,336.68,15420,530616907.0,4.09,-0.38,-1.3,6.33
2026-03-26,688809,335.0,315.0,335.0,312.01,24506,787071066.0,6.78,-7.08,-24.0,10.06
2026-03-27,688809,303.03,316.4,321.18,301.21,16044,502254528.0,6.34,0.44,1.4,6.59
2026-03-30,688809,308.88,317.66,317.66,307.01,9323,290120562.0,3.37,0.4,1.26,3.83
2026-03-31,688809,318.9,305.8,320.2,303.33,13254,412562539.0,5.23,-5.15,-16.6,5.44
2026-04-01,688809,315.0,327.0,329.0,311.0,24995,808842476.0,5.89,6.93,21.2,10.26
2026-04-02,688809,326.0,318.4,332.01,317.01,14673,473687045.0,4.59,-2.63,-8.6,6.03
2026-04-03,688809,321.56,315.44,326.88,315.44,11503,368710640.0,3.59,-0.93,-2.96,4.72
2026-04-07,688809,338.0,322.3,339.3,321.01,25077,829677409.0,5.8,2.17,6.86,10.3
2026-04-08,688809,332.0,340.68,340.87,330.0,24814,834230329.0,3.37,5.7,18.38,10.19
2026-04-09,688809,337.34,341.25,352.96,335.58,21357,735221349.0,5.1,0.17,0.57,8.77
2026-04-10,688809,344.0,344.78,350.66,340.91,19887,688496889.0,2.86,1.03,3.53,8.17
2026-04-13,688809,341.04,348.6,355.0,340.11,20704,723692534.0,4.32,1.11,3.82,8.5
2026-04-14,688809,354.08,367.35,384.87,354.08,33752,1239251692.0,8.83,5.38,18.75,13.86
2026-04-15,688809,369.85,370.59,376.5,361.7,24914,920825216.0,4.03,0.88,3.24,10.23
2026-04-16,688809,371.0,375.35,375.77,360.01,24366,894621168.0,4.25,1.28,4.76,10.01
2026-04-17,688809,369.98,417.0,422.62,366.8,38093,1515152922.0,14.87,11.1,41.65,15.64
